conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,ducts_per_cable.current,ducts_per_cable.installTemp,ducts_per_cable.cableArrangement,unenclosed_surface.current,unenclosed_surface.installTemp,unenclosed_surface.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,enclosed_partial.current,enclosed_partial.installTemp,enclosed_partial.cableArrangement,enclosed_complete.current,enclosed_complete.installTemp,enclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,ducts_single.current,ducts_single.installTemp,ducts_single.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
CU,1C,POWER,SINGLE,1C 1MM2 CU PVC/PVC V-90 0.6/1kV,16,40,FLAT,21,25,FLAT,16,40,FLAT,13,40,FLAT,13,40,FLAT,11,40,FLAT,6,40,FLAT,18,25,FLAT,18,25,FLAT,1,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,51.6,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 1.5MM2 CU PVC/PVC V-90 0.6/1kV,21,40,FLAT,26,25,FLAT,21,40,FLAT,16,40,FLAT,18,40,FLAT,14,40,FLAT,8,40,FLAT,23,25,FLAT,23,25,FLAT,1.5,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,33,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 2.5MM2 CU PVC/PVC V-90 0.6/1kV,30,40,FLAT,36,25,FLAT,29,40,FLAT,23,40,FLAT,24,40,FLAT,20,40,FLAT,12,40,FLAT,32,25,FLAT,32,25,FLAT,2.5,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,18,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 4MM2 CU PVC/PVC V-90 0.6/1kV,40,40,FLAT,47,25,FLAT,39,40,FLAT,31,40,FLAT,32,40,FLAT,25,40,FLAT,16,40,FLAT,41,25,FLAT,41,25,FLAT,4,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,11.2,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 6MM2 CU PVC/PVC V-90 0.6/1kV,51,40,FLAT,58,25,FLAT,49,40,FLAT,40,40,FLAT,41,40,FLAT,33,40,FLAT,20,40,FLAT,52,25,FLAT,52,25,FLAT,6,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,7.5,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 10MM2 CU PVC/PVC V-90 0.6/1kV,69,40,FLAT,77,25,FLAT,67,40,FLAT,54,40,FLAT,54,40,FLAT,44,40,FLAT,27,40,FLAT,69,25,FLAT,69,25,FLAT,10,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.46,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 16MM2 CU PVC/PVC V-90 0.6/1kV,92,40,FLAT,99,25,FLAT,89,40,FLAT,72,40,FLAT,70,40,FLAT,56,40,FLAT,36,40,FLAT,122,25,FLAT,89,25,FLAT,16,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.81,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 25MM2 CU PVC/PVC V-90 0.6/1kV,124,40,FLAT,129,25,FLAT,119,40,FLAT,97,40,FLAT,94,40,FLAT,75,40,FLAT,48,40,FLAT,158,25,FLAT,116,25,FLAT,25,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.78,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 35MM2 CU PVC/PVC V-90 0.6/1kV,153,40,FLAT,155,25,FLAT,145,40,FLAT,119,40,FLAT,112,40,FLAT,90,40,FLAT,59,40,FLAT,190,25,FLAT,139,25,FLAT,35,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.29,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 50MM2 CU PVC/PVC V-90 0.6/1kV,187,40,FLAT,186,25,FLAT,177,40,FLAT,146,40,FLAT,138,40,FLAT,110,40,FLAT,0,40,FLAT,225,25,FLAT,168,25,FLAT,50,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.96,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 70MM2 CU PVC/PVC V-90 0.6/1kV,238,40,FLAT,228,25,FLAT,223,40,FLAT,184,40,FLAT,170,40,FLAT,136,40,FLAT,0,40,FLAT,277,25,FLAT,206,25,FLAT,70,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.68,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 95MM2 CU PVC/PVC V-90 0.6/1kV,295,40,FLAT,278,25,FLAT,276,40,FLAT,230,40,FLAT,212,40,FLAT,169,40,FLAT,0,40,FLAT,332,25,FLAT,252,25,FLAT,95,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.507,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 120MM2 CU PVC/PVC V-90 0.6/1kV,344,40,FLAT,316,25,FLAT,321,40,FLAT,267,40,FLAT,242,40,FLAT,193,40,FLAT,0,40,FLAT,378,25,FLAT,287,25,FLAT,120,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.415,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 150MM2 CU PVC/PVC V-90 0.6/1kV,395,40,FLAT,354,25,FLAT,367,40,FLAT,308,40,FLAT,282,40,FLAT,225,40,FLAT,0,40,FLAT,424,25,FLAT,329,25,FLAT,150,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.352,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 185MM2 CU PVC/PVC V-90 0.6/1kV,459,40,FLAT,408,25,FLAT,424,40,FLAT,358,40,FLAT,320,40,FLAT,256,40,FLAT,0,40,FLAT,480,25,FLAT,373,25,FLAT,185,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.301,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 240MM2 CU PVC/PVC V-90 0.6/1kV,549,40,FLAT,472,25,FLAT,505,40,FLAT,428,40,FLAT,381,40,FLAT,305,40,FLAT,0,40,FLAT,556,25,FLAT,438,25,FLAT,240,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.255,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 300MM2 CU PVC/PVC V-90 0.6/1kV,636,40,FLAT,546,25,FLAT,582,40,FLAT,495,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,628,25,FLAT,496,25,FLAT,300,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.229,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 400MM2 CU PVC/PVC V-90 0.6/1kV,744,40,FLAT,621,25,FLAT,676,40,FLAT,577,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,713,25,FLAT,575,25,FLAT,400,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.209,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 500MM2 CU PVC/PVC V-90 0.6/1kV,867,40,FLAT,721,25,FLAT,780,40,FLAT,668,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,805,25,FLAT,649,25,FLAT,500,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.194,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 630MM2 CU PVC/PVC V-90 0.6/1kV,1014,40,FLAT,816,25,FLAT,897,40,FLAT,770,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,904,25,FLAT,750,25,FLAT,630,MM2,1,0,MM2,0,0,MM2,0,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.181,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 1MM2 CU PVC/PVC V-90 0.6/1kV,16,40,FLAT,21,25,FLAT,16,40,FLAT,13,40,FLAT,13,40,FLAT,11,40,FLAT,6,40,FLAT,18,25,FLAT,18,25,FLAT,0,MM2,0,1,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,51.6,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 1.5MM2 CU PVC/PVC V-90 0.6/1kV,21,40,FLAT,26,25,FLAT,21,40,FLAT,16,40,FLAT,18,40,FLAT,14,40,FLAT,8,40,FLAT,23,25,FLAT,23,25,FLAT,0,MM2,0,1.5,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,33,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 2.5MM2 CU PVC/PVC V-90 0.6/1kV,30,40,FLAT,36,25,FLAT,29,40,FLAT,23,40,FLAT,24,40,FLAT,20,40,FLAT,12,40,FLAT,32,25,FLAT,32,25,FLAT,0,MM2,0,2.5,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,18,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 4MM2 CU PVC/PVC V-90 0.6/1kV,40,40,FLAT,47,25,FLAT,39,40,FLAT,31,40,FLAT,32,40,FLAT,25,40,FLAT,16,40,FLAT,41,25,FLAT,41,25,FLAT,0,MM2,0,4,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,11.2,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 6MM2 CU PVC/PVC V-90 0.6/1kV,51,40,FLAT,58,25,FLAT,49,40,FLAT,40,40,FLAT,41,40,FLAT,33,40,FLAT,20,40,FLAT,52,25,FLAT,52,25,FLAT,0,MM2,0,6,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,7.5,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 10MM2 CU PVC/PVC V-90 0.6/1kV,69,40,FLAT,77,25,FLAT,67,40,FLAT,54,40,FLAT,54,40,FLAT,44,40,FLAT,27,40,FLAT,69,25,FLAT,69,25,FLAT,0,MM2,0,10,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.46,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 16MM2 CU PVC/PVC V-90 0.6/1kV,92,40,FLAT,99,25,FLAT,89,40,FLAT,72,40,FLAT,70,40,FLAT,56,40,FLAT,36,40,FLAT,122,25,FLAT,89,25,FLAT,0,MM2,0,16,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.81,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 25MM2 CU PVC/PVC V-90 0.6/1kV,124,40,FLAT,129,25,FLAT,119,40,FLAT,97,40,FLAT,94,40,FLAT,75,40,FLAT,48,40,FLAT,158,25,FLAT,116,25,FLAT,0,MM2,0,25,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.78,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 35MM2 CU PVC/PVC V-90 0.6/1kV,153,40,FLAT,155,25,FLAT,145,40,FLAT,119,40,FLAT,112,40,FLAT,90,40,FLAT,59,40,FLAT,190,25,FLAT,139,25,FLAT,0,MM2,0,35,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.29,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 50MM2 CU PVC/PVC V-90 0.6/1kV,187,40,FLAT,186,25,FLAT,177,40,FLAT,146,40,FLAT,138,40,FLAT,110,40,FLAT,0,40,FLAT,225,25,FLAT,168,25,FLAT,0,MM2,0,50,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.96,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 70MM2 CU PVC/PVC V-90 0.6/1kV,238,40,FLAT,228,25,FLAT,223,40,FLAT,184,40,FLAT,170,40,FLAT,136,40,FLAT,0,40,FLAT,277,25,FLAT,206,25,FLAT,0,MM2,0,70,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.68,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 95MM2 CU PVC/PVC V-90 0.6/1kV,295,40,FLAT,278,25,FLAT,276,40,FLAT,230,40,FLAT,212,40,FLAT,169,40,FLAT,0,40,FLAT,332,25,FLAT,252,25,FLAT,0,MM2,0,95,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.507,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 120MM2 CU PVC/PVC V-90 0.6/1kV,344,40,FLAT,316,25,FLAT,321,40,FLAT,267,40,FLAT,242,40,FLAT,193,40,FLAT,0,40,FLAT,378,25,FLAT,287,25,FLAT,0,MM2,0,120,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.415,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 150MM2 CU PVC/PVC V-90 0.6/1kV,395,40,FLAT,354,25,FLAT,367,40,FLAT,308,40,FLAT,282,40,FLAT,225,40,FLAT,0,40,FLAT,424,25,FLAT,329,25,FLAT,0,MM2,0,150,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.352,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 185MM2 CU PVC/PVC V-90 0.6/1kV,459,40,FLAT,408,25,FLAT,424,40,FLAT,358,40,FLAT,320,40,FLAT,256,40,FLAT,0,40,FLAT,480,25,FLAT,373,25,FLAT,0,MM2,0,185,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.301,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 240MM2 CU PVC/PVC V-90 0.6/1kV,549,40,FLAT,472,25,FLAT,505,40,FLAT,428,40,FLAT,381,40,FLAT,305,40,FLAT,0,40,FLAT,556,25,FLAT,438,25,FLAT,0,MM2,0,240,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.255,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 300MM2 CU PVC/PVC V-90 0.6/1kV,636,40,FLAT,546,25,FLAT,582,40,FLAT,495,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,628,25,FLAT,496,25,FLAT,0,MM2,0,300,MM2,1,0,MM2,0,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.229,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 400MM2 CU PVC/PVC V-90 0.6/1kV,744,40,FLAT,621,25,FLAT,676,40,FLAT,577,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,713,25,FLAT,575,25,FLAT,0,MM2,0,400,MM2,1,0,MM2,0,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.209,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 500MM2 CU PVC/PVC V-90 0.6/1kV,867,40,FLAT,721,25,FLAT,780,40,FLAT,668,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,805,25,FLAT,649,25,FLAT,0,MM2,0,500,MM2,1,0,MM2,0,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.194,0,0,0,Olex,,A,
CU,1C,POWER,SINGLE,1C 630MM2 CU PVC/PVC V-90 0.6/1kV,1014,40,FLAT,816,25,FLAT,897,40,FLAT,770,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,904,25,FLAT,750,25,FLAT,0,MM2,0,630,MM2,1,0,MM2,0,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.181,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 1MM2 CU PVC/PVC V-90 0.6/1kV,16,40,FLAT,21,25,FLAT,16,40,FLAT,13,40,FLAT,13,40,FLAT,11,40,FLAT,6,40,FLAT,18,25,FLAT,18,25,FLAT,0,MM2,0,0,MM2,0,1,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,51.6,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 1.5MM2 CU PVC/PVC V-90 0.6/1kV,21,40,FLAT,26,25,FLAT,21,40,FLAT,16,40,FLAT,18,40,FLAT,14,40,FLAT,8,40,FLAT,23,25,FLAT,23,25,FLAT,0,MM2,0,0,MM2,0,1.5,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,33,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 2.5MM2 CU PVC/PVC V-90 0.6/1kV,30,40,FLAT,36,25,FLAT,29,40,FLAT,23,40,FLAT,24,40,FLAT,20,40,FLAT,12,40,FLAT,32,25,FLAT,32,25,FLAT,0,MM2,0,0,MM2,0,2.5,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,18,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 4MM2 CU PVC/PVC V-90 0.6/1kV,40,40,FLAT,47,25,FLAT,39,40,FLAT,31,40,FLAT,32,40,FLAT,25,40,FLAT,16,40,FLAT,41,25,FLAT,41,25,FLAT,0,MM2,0,0,MM2,0,4,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,11.2,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 6MM2 CU PVC/PVC V-90 0.6/1kV,51,40,FLAT,58,25,FLAT,49,40,FLAT,40,40,FLAT,41,40,FLAT,33,40,FLAT,20,40,FLAT,52,25,FLAT,52,25,FLAT,0,MM2,0,0,MM2,0,6,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,7.5,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 10MM2 CU PVC/PVC V-90 0.6/1kV,69,40,FLAT,77,25,FLAT,67,40,FLAT,54,40,FLAT,54,40,FLAT,44,40,FLAT,27,40,FLAT,69,25,FLAT,69,25,FLAT,0,MM2,0,0,MM2,0,10,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.46,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 16MM2 CU PVC/PVC V-90 0.6/1kV,92,40,FLAT,99,25,FLAT,89,40,FLAT,72,40,FLAT,70,40,FLAT,56,40,FLAT,36,40,FLAT,122,25,FLAT,89,25,FLAT,0,MM2,0,0,MM2,0,16,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.81,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 25MM2 CU PVC/PVC V-90 0.6/1kV,124,40,FLAT,129,25,FLAT,119,40,FLAT,97,40,FLAT,94,40,FLAT,75,40,FLAT,48,40,FLAT,158,25,FLAT,116,25,FLAT,0,MM2,0,0,MM2,0,25,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.78,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 35MM2 CU PVC/PVC V-90 0.6/1kV,153,40,FLAT,155,25,FLAT,145,40,FLAT,119,40,FLAT,112,40,FLAT,90,40,FLAT,59,40,FLAT,190,25,FLAT,139,25,FLAT,0,MM2,0,0,MM2,0,35,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.29,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 50MM2 CU PVC/PVC V-90 0.6/1kV,187,40,FLAT,186,25,FLAT,177,40,FLAT,146,40,FLAT,138,40,FLAT,110,40,FLAT,0,40,FLAT,225,25,FLAT,168,25,FLAT,0,MM2,0,0,MM2,0,50,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.96,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 70MM2 CU PVC/PVC V-90 0.6/1kV,238,40,FLAT,228,25,FLAT,223,40,FLAT,184,40,FLAT,170,40,FLAT,136,40,FLAT,0,40,FLAT,277,25,FLAT,206,25,FLAT,0,MM2,0,0,MM2,0,70,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.68,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 95MM2 CU PVC/PVC V-90 0.6/1kV,295,40,FLAT,278,25,FLAT,276,40,FLAT,230,40,FLAT,212,40,FLAT,169,40,FLAT,0,40,FLAT,332,25,FLAT,252,25,FLAT,0,MM2,0,0,MM2,0,95,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.507,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 120MM2 CU PVC/PVC V-90 0.6/1kV,344,40,FLAT,316,25,FLAT,321,40,FLAT,267,40,FLAT,242,40,FLAT,193,40,FLAT,0,40,FLAT,378,25,FLAT,287,25,FLAT,0,MM2,0,0,MM2,0,120,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.415,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 150MM2 CU PVC/PVC V-90 0.6/1kV,395,40,FLAT,354,25,FLAT,367,40,FLAT,308,40,FLAT,282,40,FLAT,225,40,FLAT,0,40,FLAT,424,25,FLAT,329,25,FLAT,0,MM2,0,0,MM2,0,150,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.352,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 185MM2 CU PVC/PVC V-90 0.6/1kV,459,40,FLAT,408,25,FLAT,424,40,FLAT,358,40,FLAT,320,40,FLAT,256,40,FLAT,0,40,FLAT,480,25,FLAT,373,25,FLAT,0,MM2,0,0,MM2,0,185,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.301,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 240MM2 CU PVC/PVC V-90 0.6/1kV,549,40,FLAT,472,25,FLAT,505,40,FLAT,428,40,FLAT,381,40,FLAT,305,40,FLAT,0,40,FLAT,556,25,FLAT,438,25,FLAT,0,MM2,0,0,MM2,0,240,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.255,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 300MM2 CU PVC/PVC V-90 0.6/1kV,636,40,FLAT,546,25,FLAT,582,40,FLAT,495,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,628,25,FLAT,496,25,FLAT,0,MM2,0,0,MM2,0,300,MM2,1,PVC,V-90,90,160,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.229,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 400MM2 CU PVC/PVC V-90 0.6/1kV,744,40,FLAT,621,25,FLAT,676,40,FLAT,577,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,713,25,FLAT,575,25,FLAT,0,MM2,0,0,MM2,0,400,MM2,1,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.209,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 500MM2 CU PVC/PVC V-90 0.6/1kV,867,40,FLAT,721,25,FLAT,780,40,FLAT,668,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,805,25,FLAT,649,25,FLAT,0,MM2,0,0,MM2,0,500,MM2,1,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.194,0,0,0,Olex,,A,
CU,1C,EARTH,SINGLE,1C 630MM2 CU PVC/PVC V-90 0.6/1kV,1014,40,FLAT,816,25,FLAT,897,40,FLAT,770,40,FLAT,0,40,FLAT,0,40,FLAT,0,40,FLAT,904,25,FLAT,750,25,FLAT,0,MM2,0,0,MM2,0,630,MM2,1,PVC,V-90,90,140,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.181,0,0,0,Olex,,A,