conductorMaterial,cableCoreArrangement,cableType,circuitType,description,unenclosed_spaced.current,unenclosed_spaced.installTemp,unenclosed_spaced.cableArrangement,unenclosed_touching.current,unenclosed_touching.installTemp,unenclosed_touching.cableArrangement,enclosed_conduit.current,enclosed_conduit.installTemp,enclosed_conduit.cableArrangement,unenclosed_partial.current,unenclosed_partial.installTemp,unenclosed_partial.cableArrangement,unenclosed_complete.current,unenclosed_complete.installTemp,unenclosed_complete.cableArrangement,buried_direct.current,buried_direct.installTemp,buried_direct.cableArrangement,underground_ducts.current,underground_ducts.installTemp,underground_ducts.cableArrangement,activeCores.size,activeCores.sizeUnit,activeCores.number,neutralCores.size,neutralCores.sizeUnit,neutralCores.number,earthCores.size,earthCores.sizeUnit,earthCores.number,insulation.name,insulation.code,insulation.conductorTemperature,insulation.maxTemperature,sheath,CableScreen.name,CableScreen.faultWithstand,armoured,CoreScreen.type,voltRating,isFlex,impedance.MVAM,impedance.rOhmsPerKM,impedance.xOhmsPerKM,impedance.zOhmsPerKM,manufacturer.name,manufacturer.partNumber,rev.number,rev.date
CU,2C+E,Active,Single,2C+E 1MM2 CU XLPE/PVC X-90 0.6/1kV,18,40,Nil,17,40,Nil,16,40,Nil,14,40,Nil,9,40,Nil,19,25,Nil,19,25,Nil,1,MM2,1,1,MM2,1,1,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,54.1,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 1.5MM2 CU XLPE/PVC X-90 0.6/1kV,24,40,Nil,22,40,Nil,20,40,Nil,18,40,Nil,11,40,Nil,24,25,Nil,24,25,Nil,1.5,MM2,1,1.5,MM2,1,1.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,34.7,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 2.5MM2 CU XLPE/PVC X-90 0.6/1kV,34,40,Nil,31,40,Nil,28,40,Nil,25,40,Nil,16,40,Nil,34,25,Nil,34,25,Nil,2.5,MM2,1,2.5,MM2,1,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,18.9,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 4MM2 CU XLPE/PVC X-90 0.6/1kV,45,40,Nil,42,40,Nil,37,40,Nil,33,40,Nil,21,40,Nil,45,25,Nil,45,25,Nil,4,MM2,1,4,MM2,1,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,11.8,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 6MM2 CU XLPE/PVC X-90 0.6/1kV,57,40,Nil,53,40,Nil,46,40,Nil,42,40,Nil,27,40,Nil,56,25,Nil,56,25,Nil,6,MM2,1,6,MM2,1,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,7.85,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 10MM2 CU XLPE/PVC X-90 0.6/1kV,78,40,Nil,73,40,Nil,63,40,Nil,58,40,Nil,36,40,Nil,75,25,Nil,75,25,Nil,10,MM2,1,10,MM2,1,4,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.68,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 16MM2 CU XLPE/PVC X-90 0.6/1kV,104,40,Nil,97,40,Nil,82,40,Nil,78,40,Nil,49,40,Nil,132,25,Nil,98,25,Nil,16,MM2,1,16,MM2,1,6,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.95,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 25MM2 CU XLPE/PVC X-90 0.6/1kV,140,40,Nil,131,40,Nil,110,40,Nil,105,40,Nil,66,40,Nil,170,25,Nil,128,25,Nil,25,MM2,1,25,MM2,1,6,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.86,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 35MM2 CU XLPE/PVC X-90 0.6/1kV,173,40,Nil,162,40,Nil,132,40,Nil,129,40,Nil,81,40,Nil,205,25,Nil,154,25,Nil,35,MM2,1,35,MM2,1,10,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.35,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 50MM2 CU XLPE/PVC X-90 0.6/1kV,211,40,Nil,197,40,Nil,162,40,Nil,158,40,Nil,0,40,Nil,244,25,Nil,185,25,Nil,50,MM2,1,50,MM2,1,16,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 70MM2 CU XLPE/PVC X-90 0.6/1kV,268,40,Nil,250,40,Nil,200,40,Nil,200,40,Nil,0,40,Nil,300,25,Nil,228,25,Nil,70,MM2,1,70,MM2,1,25,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.703,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 95MM2 CU XLPE/PVC X-90 0.6/1kV,331,40,Nil,309,40,Nil,250,40,Nil,247,40,Nil,0,40,Nil,360,25,Nil,279,25,Nil,95,MM2,1,95,MM2,1,25,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.52,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 120MM2 CU XLPE/PVC X-90 0.6/1kV,385,40,Nil,359,40,Nil,285,40,Nil,287,40,Nil,0,40,Nil,410,25,Nil,318,25,Nil,120,MM2,1,120,MM2,1,35,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.423,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 150MM2 CU XLPE/PVC X-90 0.6/1kV,441,40,Nil,411,40,Nil,332,40,Nil,328,40,Nil,0,40,Nil,460,25,Nil,365,25,Nil,150,MM2,1,150,MM2,1,50,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.355,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 185MM2 CU XLPE/PVC X-90 0.6/1kV,509,40,Nil,473,40,Nil,377,40,Nil,379,40,Nil,0,40,Nil,520,25,Nil,413,25,Nil,185,MM2,1,185,MM2,1,70,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.299,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 240MM2 CU XLPE/PVC X-90 0.6/1kV,604,40,Nil,562,40,Nil,448,40,Nil,449,40,Nil,0,40,Nil,603,25,Nil,485,25,Nil,240,MM2,1,240,MM2,1,95,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.249,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 300MM2 CU XLPE/PVC X-90 0.6/1kV,694,40,Nil,645,40,Nil,523,40,Nil,516,40,Nil,0,40,Nil,680,25,Nil,558,25,Nil,300,MM2,1,300,MM2,1,120,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.219,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 400MM2 CU XLPE/PVC X-90 0.6/1kV,804,40,Nil,745,40,Nil,596,40,Nil,596,40,Nil,0,40,Nil,771,25,Nil,663,25,Nil,400,MM2,1,400,MM2,1,120,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.198,0,0,0,Olex,,A,
CU,2C+E,Active,Single,2C+E 500MM2 CU XLPE/PVC X-90 0.6/1kV,915,40,Nil,848,40,Nil,695,40,Nil,678,40,Nil,0,40,Nil,862,25,Nil,728,25,Nil,500,MM2,1,500,MM2,1,120,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.182,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 1MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,25,Nil,0,25,Nil,1,MM2,1,1,MM2,1,0,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 1.5MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,25,Nil,0,25,Nil,1.5,MM2,1,1.5,MM2,1,0,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 2.5MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,25,Nil,0,25,Nil,2.5,MM2,1,2.5,MM2,1,0,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 4MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,25,Nil,0,25,Nil,4,MM2,1,4,MM2,1,0,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 6MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,25,Nil,0,25,Nil,6,MM2,1,6,MM2,1,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 10MM2 AL XLPE/PVC X-90 0.6/1kV,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,40,Nil,0,25,Nil,0,25,Nil,10,MM2,1,10,MM2,1,2.5,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 16MM2 AL XLPE/PVC X-90 0.6/1kV,81,40,Nil,75,40,Nil,63,40,Nil,60,40,Nil,38,40,Nil,102,25,Nil,75,25,Nil,16,MM2,1,16,MM2,1,4,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,4.9,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 25MM2 AL XLPE/PVC X-90 0.6/1kV,109,40,Nil,102,40,Nil,85,40,Nil,81,40,Nil,51,40,Nil,132,25,Nil,99,25,Nil,25,MM2,1,25,MM2,1,6,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,3.08,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 35MM2 AL XLPE/PVC X-90 0.6/1kV,134,40,Nil,125,40,Nil,102,40,Nil,100,40,Nil,63,40,Nil,159,25,Nil,119,25,Nil,35,MM2,1,35,MM2,1,6,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,2.23,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 50MM2 AL XLPE/PVC X-90 0.6/1kV,163,40,Nil,153,40,Nil,126,40,Nil,122,40,Nil,0,40,Nil,189,25,Nil,144,25,Nil,50,MM2,1,50,MM2,1,10,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.65,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 70MM2 AL XLPE/PVC X-90 0.6/1kV,208,40,Nil,194,40,Nil,155,40,Nil,155,40,Nil,0,40,Nil,233,25,Nil,177,25,Nil,70,MM2,1,70,MM2,1,10,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,1.15,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 95MM2 AL XLPE/PVC X-90 0.6/1kV,257,40,Nil,239,40,Nil,194,40,Nil,192,40,Nil,0,40,Nil,279,25,Nil,216,25,Nil,95,MM2,1,95,MM2,1,16,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.835,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 120MM2 AL XLPE/PVC X-90 0.6/1kV,299,40,Nil,279,40,Nil,222,40,Nil,223,40,Nil,0,40,Nil,319,25,Nil,247,25,Nil,120,MM2,1,120,MM2,1,25,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.666,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 150MM2 AL XLPE/PVC X-90 0.6/1kV,342,40,Nil,319,40,Nil,257,40,Nil,255,40,Nil,0,40,Nil,357,25,Nil,283,25,Nil,150,MM2,1,150,MM2,1,25,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.55,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 185MM2 AL XLPE/PVC X-90 0.6/1kV,396,40,Nil,369,40,Nil,293,40,Nil,295,40,Nil,0,40,Nil,405,25,Nil,322,25,Nil,185,MM2,1,185,MM2,1,35,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.448,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 240MM2 AL XLPE/PVC X-90 0.6/1kV,472,40,Nil,439,40,Nil,350,40,Nil,351,40,Nil,0,40,Nil,471,25,Nil,379,25,Nil,240,MM2,1,240,MM2,1,50,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.355,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 300MM2 AL XLPE/PVC X-90 0.6/1kV,544,40,Nil,505,40,Nil,410,40,Nil,404,40,Nil,0,40,Nil,533,25,Nil,437,25,Nil,300,MM2,1,300,MM2,1,70,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.298,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 400MM2 AL XLPE/PVC X-90 0.6/1kV,636,40,Nil,590,40,Nil,472,40,Nil,472,40,Nil,0,40,Nil,610,25,Nil,501,25,Nil,400,MM2,1,400,MM2,1,95,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.249,0,0,0,Olex,,A,
AL,2C+E,Active,Single,2C+E 500MM2 AL XLPE/PVC X-90 0.6/1kV,734,40,Nil,680,40,Nil,557,40,Nil,544,40,Nil,0,40,Nil,691,25,Nil,583,25,Nil,500,MM2,1,500,MM2,1,95,MM2,1,XLPE,X-90,90,250,PVC,NIL,0,NIL,NIL,0.6/1kV,FALSE,0.218,0,0,0,Olex,,A,