CircuitType,ConductorType,Cores,InstallType,ActiveSize,UNENCLOSED_SPACED,UNENCLOSED_SURFACE,UNENCLOSED_TOUCHING,ENCLOSED_CONDUIT,ENCLOSED_PARTIAL,ENCLOSED_COMPLETE,BURIED_DIRECT,DUCTS_SINGLE,DUCTS_PER_CABLE,NeutralSize,EarthSize,CCC,MVAM,SizeUnits,Insulation,Sheath,Screen,VoltRating,IsFlex,Armoured,ROhmsPerKM,XOhmsPerKM,ZOhmsPerKM,ReferenceTemp,MaxConductorTemp,Manufacturer
SINGLE,AL,1C,UNENCLOSED_SPACED,25,117,112,91,87,70,45,139,102,114,0,0,117,3.08,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,35,144,137,111,105,84,56,167,122,136,0,0,144,2.24,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,50,177,167,136,129,103,0,198,147,164,0,0,177,1.65,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,70,226,212,174,159,127,0,243,181,200,0,0,226,1.15,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,95,280,262,216,198,158,0,291,221,239,0,0,280,0.84,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,120,328,305,253,226,181,0,332,252,278,0,0,328,0.672,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,150,377,350,291,255,204,0,372,283,311,0,0,377,0.557,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,185,439,406,340,301,241,0,423,329,359,0,0,439,0.455,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,240,527,485,408,360,288,0,492,388,417,0,0,527,0.363,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,300,612,562,473,0,0,0,556,440,482,0,0,612,0.307,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,400,723,660,559,0,0,0,638,516,553,0,0,723,0.261,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,500,850,772,656,0,0,0,729,590,632,0,0,850,0.228,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX
SINGLE,AL,1C,UNENCLOSED_SPACED,630,1003,904,772,0,0,0,833,695,740,0,0,1003,0.204,MM2,X-90,PVC,FALSE,0.6/1kV,FALSE,FALSE,0,0,0,40,90,OLEX